,AnimalType,AgeInDays,Breed,Color
120,Dog,1825,Dachshund Mix,Black
121,Dog,2920,Miniature Schnauzer/Miniature Poodle,Black
122,Dog,60,Labrador Retriever Mix,Black/White
123,Cat,2555,Domestic Shorthair Mix,Tortie
124,Cat,60,Domestic Shorthair Mix,Black
125,Dog,1825,Pit Bull,Black
126,Dog,365,Pit Bull Mix,White/Brown
127,Cat,90,Domestic Shorthair Mix,Brown Tabby
128,Dog,730,Chihuahua Shorthair Mix,Brown/White
129,Dog,3285,Labrador Retriever Mix,Chocolate/White
130,Dog,1095,Pit Bull Mix,Red/White
131,Cat,1095,Domestic Shorthair Mix,Calico
132,Dog,365,Chihuahua Shorthair/Jack Russell Terrier,Black/White
133,Dog,730,Chihuahua Shorthair Mix,Black/Tan
134,Dog,365,Pit Bull,Brown Brindle
135,Cat,730,Siamese Mix,Flame Point
136,Dog,730,Tibetan Terrier Mix,Brown
137,Cat,730,Domestic Shorthair Mix,Blue/White
138,Cat,90,Domestic Shorthair Mix,Tortie
139,Dog,30,Miniature Pinscher/Chihuahua Shorthair,Tricolor
140,Cat,60,Domestic Shorthair Mix,Orange Tabby/White
141,Cat,300,Domestic Medium Hair Mix,Cream Tabby
142,Cat,730,Domestic Medium Hair Mix,Brown Tabby/White
143,Cat,60,Domestic Medium Hair Mix,Calico
144,Dog,180,Labrador Retriever Mix,Yellow
145,Cat,60,Domestic Shorthair Mix,Brown Tabby
146,Dog,365,Dachshund Mix,Tan
147,Dog,180,Dachshund Mix,Brown/White
148,Cat,365,Domestic Shorthair Mix,Black/White
149,Cat,21,Domestic Shorthair Mix,Calico
150,Cat,730,Domestic Shorthair Mix,Brown Tabby
151,Dog,330,Blue Lacy Mix,Blue/White
152,Dog,90,Rat Terrier Mix,Tricolor
153,Dog,730,Dachshund Longhair,Brown
154,Dog,730,Pit Bull Mix,Red
155,Dog,730,Pit Bull Mix,Brown/White
156,Cat,120,Domestic Longhair,Calico
157,Dog,120,Dachshund/Chihuahua Shorthair,Red
158,Cat,150,Domestic Shorthair Mix,Torbie
159,Cat,60,Domestic Shorthair Mix,Black Tabby/White
160,Dog,2555,Chihuahua Shorthair Mix,Brown/White
161,Cat,1460,Domestic Shorthair Mix,Black/White
162,Cat,21,Domestic Shorthair Mix,Tortie/Calico
163,Dog,180,Border Collie Mix,Black/White
164,Dog,150,Labrador Retriever Mix,Black/White
165,Dog,2920,Maltese,White
166,Cat,60,Domestic Shorthair Mix,Black
167,Cat,30,Domestic Shorthair Mix,Blue Tabby/White
168,Dog,150,Labrador Retriever Mix,White
169,Cat,30,Domestic Shorthair Mix,Brown Tabby
170,Cat,120,Domestic Shorthair Mix,Blue Tabby
171,Dog,365,Chihuahua Shorthair Mix,White/Tan
172,Dog,730,Labrador Retriever/Rottweiler,Black/Brown
173,Cat,4015,Domestic Shorthair Mix,Tortie
174,Dog,60,Dachshund/Manchester Terrier,Tricolor
175,Cat,60,Domestic Shorthair Mix,White/Black
176,Cat,60,Domestic Shorthair Mix,Brown Tabby
177,Dog,30,Plott Hound/Labrador Retriever,Black/Brown Brindle
178,Dog,2555,Chihuahua Shorthair/Rat Terrier,White/Tan
179,Cat,4,Domestic Shorthair Mix,Cream Tabby/White
180,Dog,1460,Siberian Husky,White/Gray
181,Dog,730,Australian Cattle Dog Mix,Tan/White
182,Dog,365,Pointer Mix,White/Black
183,Dog,730,Pit Bull Mix,Brown Brindle/White
184,Cat,28,Domestic Medium Hair Mix,Brown Tabby
185,Cat,365,Domestic Shorthair Mix,Black/White
186,Dog,730,Yorkshire Terrier/Miniature Poodle,Tan/Silver
187,Cat,300,Domestic Shorthair Mix,Orange Tabby
188,Dog,1460,German Shepherd Mix,White
189,Cat,120,Domestic Shorthair Mix,Brown Tabby/White
190,Dog,2190,Catahoula/Labrador Retriever,White/Tan
191,Dog,270,Miniature Poodle Mix,Black/White
192,Dog,1095,Jack Russell Terrier/Pit Bull,Red
193,Cat,240,Domestic Shorthair Mix,Torbie
194,Dog,300,Queensland Heeler/Shetland Sheepdog,Red Tick/Black
195,Cat,365,Domestic Shorthair Mix,White/Cream Tabby
196,Dog,365,Catahoula Mix,Blue Merle
197,Dog,365,Labrador Retriever Mix,Black/White
198,Dog,90,Labrador Retriever Mix,Yellow
199,Dog,2190,Chihuahua Shorthair Mix,Chocolate/Tan
200,Cat,365,Domestic Longhair Mix,Black
201,Dog,730,American Pit Bull Terrier Mix,Tan/White
202,Dog,1825,Dachshund Longhair Mix,Tan/White
203,Cat,4380,Domestic Longhair Mix,Orange Tabby/White
204,Dog,730,German Shepherd Mix,Sable
205,Dog,2190,Labrador Retriever Mix,Black/White
206,Cat,90,Domestic Shorthair Mix,Black
207,Dog,240,Doberman Pinsch Mix,Tricolor
208,Cat,365,Domestic Shorthair Mix,Black
209,Cat,5475,Domestic Shorthair Mix,Black
210,Dog,21,Pointer Mix,Chocolate/White
211,Dog,150,Dachshund/Jack Russell Terrier,White/Brown
212,Dog,730,Miniature Poodle/Miniature Schnauzer,Black/White
213,Dog,730,Whippet Mix,Brown Brindle/White
214,Dog,730,Australian Shepherd Mix,Brown Merle/White
215,Dog,730,Labrador Retriever Mix,Tan/White
216,Cat,21,Domestic Shorthair Mix,Calico
217,Dog,365,Pit Bull Mix,Brown Tiger/White
218,Cat,730,Domestic Shorthair Mix,Brown Tabby/White
219,Cat,28,Domestic Shorthair Mix,Brown Tabby
220,Dog,1460,Chihuahua Shorthair Mix,White/Brown
221,Cat,21,Domestic Shorthair Mix,Brown Tabby
222,Cat,60,Domestic Shorthair Mix,Black
223,Dog,365,Rat Terrier Mix,White/Black
224,Dog,60,English Pointer Mix,Brown/White
225,Dog,365,Miniature Schnauzer/Yorkshire Terrier,Black/White
226,Dog,1095,Cairn Terrier Mix,Buff
227,Dog,3285,Labrador Retriever/Pit Bull,Black
228,Cat,730,Domestic Shorthair Mix,White/Black
229,Dog,1825,Great Dane,Black/White
230,Dog,730,Chihuahua Shorthair Mix,Black/White
231,Dog,730,Chesa Bay Retr,Brown
232,Dog,2555,German Shepherd,Brown/Black
233,Cat,365,Domestic Shorthair Mix,Brown Tabby/White
234,Cat,2190,Domestic Shorthair Mix,Black/White
235,Cat,60,Domestic Shorthair Mix,Orange Tabby/White
236,Dog,365,Chihuahua Shorthair Mix,Tan/Black
237,Cat,60,Domestic Shorthair Mix,Orange Tabby/White
238,Dog,2190,Plott Hound Mix,Brown Brindle
239,Cat,60,Domestic Shorthair Mix,Brown Tabby/White
240,Dog,730,Chihuahua Shorthair Mix,Brown/Black
241,Cat,2555,Siamese Mix,Flame Point
242,Cat,90,Domestic Shorthair Mix,Brown Tabby/White
243,Dog,1095,Chow Chow Mix,Red
244,Cat,730,Domestic Shorthair Mix,Black
245,Dog,2555,English Pointer,Liver/White
246,Cat,30,Domestic Shorthair Mix,White/Blue Tabby
247,Dog,730,Pit Bull Mix,Brown/White
248,Dog,150,Boxer Mix,Black/White
249,Dog,1460,Basset Hound/Labrador Retriever,Black/White
250,Dog,730,Labrador Retriever Mix,Buff
251,Dog,2555,Airedale Terrier Mix,Tricolor
252,Dog,365,Labrador Retriever/Chow Chow,Brown
253,Cat,30,Domestic Shorthair Mix,Orange Tabby/White
254,Dog,30,Beagle/German Shepherd,Black/Brown
255,Cat,60,Manx Mix,White/Black
256,Cat,1095,Domestic Shorthair Mix,Blue
257,Dog,1460,Chihuahua Shorthair/Rat Terrier,Tan/White
258,Dog,365,Pit Bull Mix,Black/White
259,Dog,730,Flat Coat Retriever Mix,Black/White
260,Dog,3650,Cocker Spaniel,Buff
261,Cat,60,Domestic Shorthair Mix,Brown Tabby
262,Dog,3650,Chihuahua Shorthair Mix,Tan
263,Cat,730,Domestic Longhair Mix,Brown Tabby/White
264,Dog,2555,Rat Terrier Mix,White/Black
265,Dog,365,Border Terrier/Chihuahua Shorthair,Tan/Black
266,Dog,1825,Pit Bull Mix,Brown Brindle/White
267,Dog,2190,Chihuahua Shorthair Mix,Black/Gray
268,Cat,7,Domestic Shorthair Mix,Brown Tabby
269,Dog,2555,Pit Bull Mix,Tan/White
270,Dog,365,Chihuahua Longhair Mix,Black
271,Dog,365,Jack Russell Terrier/Dachshund,White/Brown
272,Cat,14,Domestic Shorthair Mix,Orange Tabby
273,Cat,365,Domestic Shorthair Mix,Orange Tabby
274,Dog,1825,German Shepherd,Black/Brown
275,Dog,730,Rottweiler Mix,Black/Tan
276,Dog,300,Siberian Husky Mix,White/Cream
277,Cat,90,Domestic Shorthair Mix,Black
278,Dog,270,Cardigan Welsh Corgi/Cardigan Welsh Corgi,Fawn/White
279,Cat,30,Domestic Shorthair Mix,Black/White
280,Cat,0,Domestic Shorthair Mix,Blue
281,Cat,1825,Domestic Shorthair Mix,Calico
282,Dog,240,Chihuahua Shorthair Mix,Chocolate/White
283,Dog,365,Cairn Terrier Mix,Cream
284,Cat,60,Domestic Shorthair Mix,Orange Tabby
285,Cat,90,Domestic Shorthair,Black/White
286,Dog,5110,Chihuahua Shorthair Mix,Chocolate/White
287,Dog,2555,Labrador Retriever Mix,Chocolate
288,Dog,730,Shih Tzu,Gray/White
289,Dog,180,Plott Hound Mix,Brown Brindle
290,Dog,330,Australian Shepherd Mix,Tan/White
291,Dog,1095,Chihuahua Shorthair Mix,Tan/White
292,Cat,60,Domestic Longhair Mix,Black/White
293,Dog,365,Labrador Retriever/Border Collie,Black/White
294,Cat,28,Siamese Mix,Blue Point
295,Dog,1460,Chihuahua Shorthair Mix,White/Brown
296,Cat,2920,Domestic Medium Hair Mix,Orange Tabby
297,Cat,90,Domestic Shorthair Mix,Calico
298,Dog,60,Australian Cattle Dog Mix,Brown/White
299,Cat,120,Domestic Shorthair Mix,Tortie
300,Dog,730,Labrador Retriever/Great Dane,Tan/Black
301,Dog,2190,Dachshund Mix,Brown
302,Dog,330,Boxer Mix,Brown Brindle/White
303,Dog,365,Labrador Retriever Mix,Tan/White
304,Dog,1460,Shih Tzu/Miniature Poodle,Apricot/White
305,Cat,60,Domestic Medium Hair Mix,Blue/White
306,Dog,730,Pit Bull Mix,Red
307,Dog,60,Australian Cattle Dog Mix,Red Merle/Black
308,Cat,180,Domestic Shorthair Mix,Black
309,Cat,2920,Domestic Shorthair Mix,Black/White
310,Cat,1095,Domestic Shorthair Mix,Brown Tabby
311,Dog,730,Chihuahua Shorthair Mix,Brown/White
312,Dog,60,Australian Cattle Dog Mix,White/Brown
313,Cat,21,Domestic Shorthair Mix,Tortie
314,Cat,60,Domestic Shorthair Mix,Brown Tabby
315,Dog,1460,German Shepherd Mix,Brown
316,Cat,1825,Domestic Shorthair Mix,Brown Tabby/White
317,Dog,730,Pointer Mix,Chocolate/White
318,Cat,180,Domestic Medium Hair Mix,Calico
319,Dog,730,Miniature Poodle Mix,Black/Gray
320,Dog,3650,Collie Smooth/Chow Chow,Sable
321,Cat,180,Domestic Shorthair Mix,Black/White
322,Cat,60,Domestic Shorthair Mix,Calico
323,Dog,180,Cocker Spaniel Mix,Sable
324,Dog,2920,Chihuahua Shorthair Mix,Tricolor
325,Dog,180,Labrador Retriever Mix,Buff
326,Cat,90,Siamese Mix,Seal Point
327,Dog,365,Rottweiler/Labrador Retriever,Black/Tan
328,Dog,365,Chihuahua Shorthair Mix,Brown/Black
329,Dog,60,Boxer Mix,Tricolor
330,Cat,14,Domestic Shorthair Mix,Blue Tabby
331,Dog,730,Chihuahua Shorthair Mix,Tan
332,Cat,60,Domestic Shorthair Mix,Orange Tabby/White
333,Cat,270,Domestic Shorthair Mix,White/Brown Tabby
334,Dog,1460,Rat Terrier Mix,Black/White
335,Dog,120,German Shepherd/Siberian Husky,Red/White
336,Cat,3,Domestic Shorthair Mix,White
337,Dog,2190,Dachshund,Blue Merle/White
338,Dog,60,Border Collie/Labrador Retriever,Black/White
339,Cat,240,Domestic Shorthair Mix,Blue Tabby
340,Cat,30,Domestic Shorthair Mix,Black/White
341,Cat,120,Domestic Shorthair Mix,Black
342,Cat,60,Domestic Shorthair Mix,Torbie
343,Dog,730,Pit Bull Mix,Fawn
344,Dog,120,Collie Smooth/Labrador Retriever,Tricolor
345,Cat,365,Domestic Shorthair Mix,Brown Tabby
346,Cat,90,Siamese Mix,Lynx Point/White
347,Cat,60,Domestic Shorthair Mix,Black/White
348,Cat,120,Domestic Shorthair Mix,Orange Tabby/White
349,Dog,1825,Plott Hound/Rhod Ridgeback,Brown Brindle
350,Dog,730,Pit Bull Mix,Fawn/White
351,Cat,14,Domestic Shorthair Mix,Brown Tabby
352,Cat,60,Domestic Shorthair Mix,Black
353,Dog,300,Chihuahua Shorthair Mix,Tan/White
354,Dog,730,Pointer/Labrador Retriever,Black/White
355,Dog,300,Anatol Shepherd/Great Pyrenees,White
356,Cat,28,Domestic Shorthair Mix,Blue
357,Dog,365,Anatol Shepherd,Fawn/Black
358,Cat,210,Domestic Shorthair Mix,Brown Tabby/White
359,Dog,730,Pit Bull Mix,Brown/White
360,Dog,2555,Great Dane,Black/White
361,Cat,60,Domestic Shorthair Mix,Brown Tabby
362,Cat,4380,Domestic Shorthair Mix,Black/White
363,Dog,1095,Australian Cattle Dog Mix,Tricolor
364,Cat,90,Domestic Shorthair Mix,Black/White
365,Dog,730,Chinese Sharpei/Australian Cattle Dog,Red Tick/White
366,Dog,4380,Labrador Retriever Mix,Yellow
367,Dog,365,Flat Coat Retriever Mix,Black
368,Dog,1095,Labrador Retriever Mix,Yellow
369,Cat,30,Domestic Shorthair Mix,Calico
370,Dog,6,Labrador Retriever Mix,White
371,Dog,270,Rat Terrier Mix,Tricolor
372,Cat,60,Domestic Longhair Mix,Black/White
373,Dog,730,Akita/Pit Bull,Tan/White
374,Dog,2555,American Bulldog Mix,White
375,Dog,120,Labrador Retriever Mix,Blue
376,Cat,3650,Domestic Shorthair Mix,Orange Tabby
377,Dog,1825,Chihuahua Shorthair Mix,Tan
378,Dog,730,Pointer/Labrador Retriever,Chocolate/White
379,Dog,1825,Chihuahua Shorthair Mix,Tan/White
380,Cat,150,Siamese Mix,Flame Point
381,Cat,365,Domestic Shorthair Mix,Black/White
382,Dog,365,Labrador Retriever,Buff/Tan
383,Cat,120,Domestic Medium Hair Mix,Black
384,Dog,730,Chihuahua Shorthair/Rat Terrier,White/Tan
385,Dog,1095,Rottweiler Mix,Black/Tan
386,Cat,28,Domestic Shorthair,Blue
387,Cat,21,Domestic Shorthair Mix,Black/White
388,Cat,21,Domestic Shorthair Mix,Tortie
389,Dog,730,Labrador Retriever,Black
390,Dog,365,Boxer Mix,Brown/White
391,Cat,14,Domestic Shorthair Mix,Blue Tabby
392,Dog,730,Jack Russell Terrier Mix,White/Tan
393,Dog,270,Pit Bull/Dogue De Bordeaux,Red/White
394,Dog,1095,Labrador Retriever/Chow Chow,Brown
395,Cat,30,Domestic Shorthair Mix,Tortie
396,Dog,730,Bernese Mountain Dog/Rottweiler,Tricolor
397,Cat,730,Domestic Shorthair Mix,Brown Tabby
398,Dog,120,Plott Hound Mix,Brown Brindle/Red Tick
399,Dog,1095,English Bulldog,Brown Brindle
400,Dog,365,Pit Bull Mix,Brown/White
401,Cat,30,Domestic Medium Hair Mix,Brown Tabby/White
402,Dog,365,Chihuahua Shorthair Mix,White/Brown
403,Dog,60,Labrador Retriever Mix,Black/Tan
404,Dog,3285,Chihuahua Shorthair,Brown
405,Dog,730,Pit Bull Mix,Brown
406,Dog,180,Pointer Mix,White/Blue
407,Dog,90,Chihuahua Longhair/Italian Greyhound,Tricolor
408,Dog,30,Labrador Retriever/Blue Lacy,Chocolate/White
409,Dog,365,Yorkshire Terrier Mix,Black/Tan
410,Dog,730,Pit Bull Mix,Blue/White
411,Dog,1095,Labrador Retriever Mix,Black/White
412,Cat,60,Siamese Mix,Lilac Point
413,Dog,730,American Staffordshire Terrier Mix,Blue/White
414,Dog,730,Dachshund/Catahoula,Brown Brindle/White
415,Dog,60,Dachshund Wirehair Mix,Brown/Black
416,Cat,4380,Domestic Longhair Mix,Tortie
417,Cat,730,Domestic Shorthair Mix,Blue
418,Dog,240,Labrador Retriever Mix,Black
419,Cat,3650,Domestic Shorthair Mix,Brown Tabby/White
420,Cat,60,Domestic Medium Hair Mix,Orange Tabby
421,Dog,90,Chihuahua Shorthair Mix,Buff/White
422,Dog,365,Blue Lacy/Pit Bull,Blue/White
423,Cat,730,Domestic Shorthair Mix,Tortie
424,Cat,60,Domestic Shorthair Mix,Blue Tabby
425,Cat,90,Siamese Mix,Lilac Point
426,Dog,2555,Miniature Poodle Mix,White
427,Dog,730,Dachshund Mix,Brown
428,Dog,120,Boxer Mix,Brown Brindle/White
429,Cat,60,Domestic Shorthair Mix,Brown Tabby
430,Cat,90,Domestic Shorthair Mix,White/Orange Tabby
431,Cat,730,Exotic Shorthair Mix,White/Orange Tabby
432,Cat,180,Domestic Shorthair Mix,Black/White
433,Cat,4,Domestic Shorthair Mix,Torbie
434,Cat,90,Domestic Shorthair Mix,Brown Tabby
435,Cat,150,Siamese Mix,Tortie Point
436,Cat,60,Domestic Shorthair Mix,Orange Tabby/White
437,Cat,30,Domestic Shorthair Mix,Brown Tabby/White
438,Dog,365,Pit Bull Mix,Black/White
439,Dog,30,Australian Cattle Dog Mix,Brown/Black
440,Dog,1095,Chihuahua Shorthair Mix,Black/Tan
441,Dog,1095,Labrador Retriever/Chinese Sharpei,Black
442,Dog,2190,Basset Hound,Tricolor
443,Dog,240,Pit Bull Mix,White/Blue
444,Cat,120,Domestic Shorthair Mix,Brown Tabby/White
445,Dog,1095,Cocker Spaniel Mix,Yellow
446,Dog,28,Chihuahua Shorthair Mix,Tricolor
447,Cat,60,Domestic Shorthair Mix,Torbie
448,Dog,60,Australian Cattle Dog Mix,Buff/White
449,Dog,365,Dachshund/Chihuahua Shorthair,Black
450,Dog,1825,Cocker Spaniel Mix,Black
451,Dog,2555,Blue Lacy/Collie Smooth,Tricolor
452,Cat,60,Domestic Longhair Mix,Blue
453,Dog,1095,Pit Bull Mix,Black/White
454,Cat,30,Domestic Shorthair Mix,Torbie
455,Dog,2190,Miniature Poodle Mix,Buff
456,Dog,60,Labrador Retriever Mix,Chocolate/White
457,Dog,730,Pit Bull Mix,White/Brown
458,Cat,14,Domestic Shorthair Mix,Orange Tabby/White
459,Cat,365,Domestic Shorthair Mix,Black/White
460,Dog,730,Black/Tan Hound Mix,Black/Tan
461,Cat,60,Domestic Shorthair Mix,Black
462,Cat,60,Domestic Shorthair Mix,Orange Tabby
463,Cat,2920,Siamese Mix,Lynx Point
464,Dog,7,Labrador Retriever Mix,White
465,Dog,4380,Chihuahua Shorthair Mix,White
466,Dog,365,Pit Bull Mix,Chocolate/White
467,Dog,4015,Norfolk Terrier/Border Terrier,Cream
468,Cat,14,Domestic Shorthair Mix,Blue Tabby/White
469,Dog,730,Border Collie Mix,Black/White
470,Dog,730,German Shepherd Mix,Black/Tan
471,Dog,730,Chihuahua Shorthair Mix,Black
472,Dog,1095,Chihuahua Shorthair Mix,Brown
473,Cat,5,Domestic Shorthair Mix,Black
474,Cat,21,Domestic Shorthair Mix,White/Brown Tabby
475,Dog,300,Jack Russell Terrier Mix,Tricolor
476,Cat,2555,Domestic Shorthair Mix,Brown Tabby
477,Dog,2555,Pit Bull Mix,Red/White
478,Dog,1095,Siberian Husky,Black/White
479,Dog,730,Scottish Terrier/Cairn Terrier,Black
480,Cat,730,Domestic Medium Hair Mix,Blue Tabby
481,Dog,365,Labrador Retriever Mix,Red
482,Cat,150,Domestic Shorthair Mix,Calico
483,Cat,240,Domestic Shorthair Mix,Black
484,Cat,90,Domestic Longhair Mix,Brown Tabby
485,Dog,365,Chihuahua Shorthair Mix,Tan
486,Cat,120,Domestic Medium Hair Mix,Tortie/White
487,Cat,365,Domestic Shorthair Mix,Cream Tabby
488,Dog,365,Pit Bull Mix,Tan/White
489,Cat,60,Domestic Shorthair Mix,Black
490,Dog,240,Labrador Retriever Mix,Black
491,Cat,365,Domestic Shorthair Mix,Calico
492,Dog,1825,Chihuahua Longhair Mix,Cream
493,Dog,28,Chihuahua Shorthair Mix,White
494,Dog,1095,Labrador Retriever Mix,Yellow
495,Dog,1095,Pit Bull Mix,Black/White
496,Dog,60,Border Collie Mix,Tricolor
497,Dog,90,Pit Bull Mix,White/Brown
498,Dog,3650,Yorkshire Terrier Mix,Black/Tricolor
499,Dog,1825,American Bulldog Mix,Tan
500,Cat,28,Domestic Shorthair Mix,Brown Tabby
501,Dog,2555,Boxer,Brown/White
502,Dog,365,Miniature Poodle,Apricot
503,Cat,90,Domestic Shorthair Mix,Orange Tabby
504,Cat,1460,Domestic Shorthair Mix,Black/White
505,Dog,1095,Jack Russell Terrier Mix,White/Brown
506,Dog,30,Chihuahua Shorthair Mix,Brown/Black
507,Cat,14,Domestic Shorthair Mix,Brown Tabby
508,Cat,14,Domestic Shorthair Mix,Brown Tabby
509,Cat,6,Domestic Shorthair Mix,Brown Tabby
510,Dog,365,German Shepherd Mix,Tan/Black
511,Cat,28,Domestic Shorthair Mix,Calico
512,Cat,2920,Russian Blue Mix,Blue
513,Cat,30,Domestic Shorthair Mix,Tortie/White
514,Dog,3650,Doberman Pinsch,Black/Tan
515,Cat,120,Devon Rex Mix,Cream
516,Dog,1095,Treeing Walker Coonhound Mix,Tricolor
517,Dog,730,Australian Cattle Dog/Labrador Retriever,Black
518,Dog,2920,Australian Cattle Dog Mix,Sable
